"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
52,"admin.","single","university.degree","unknown","unknown","unknown","cellular","aug","wed",138,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
49,"blue-collar","divorced","high.school","no","no","yes","telephone","may","mon",742,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
25,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","wed",322,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
27,"admin.","single","university.degree","no","no","no","telephone","oct","tue",540,1,999,0,"nonexistent",-0.1,93.798,-40.4,4.86,5195.8,1
44,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",113,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,0
31,"blue-collar","married","basic.4y","no","no","no","telephone","jul","thu",317,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
51,"blue-collar","divorced","basic.9y","no","yes","no","cellular","jul","tue",61,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
41,"blue-collar","married","basic.6y","no","no","no","telephone","may","tue",592,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
59,"retired","married","university.degree","no","yes","no","cellular","aug","wed",160,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
34,"technician","married","basic.9y","no","no","no","cellular","nov","tue",110,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
57,"retired","married","basic.9y","unknown","yes","no","cellular","aug","fri",27,6,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
39,"admin.","single","high.school","no","no","yes","cellular","aug","thu",216,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
43,"blue-collar","single","basic.9y","no","no","no","telephone","jul","thu",28,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
49,"housemaid","married","professional.course","no","no","no","telephone","may","thu",565,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
26,"admin.","married","high.school","no","no","no","cellular","jul","thu",125,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
38,"blue-collar","divorced","high.school","no","no","no","cellular","may","thu",282,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,0
48,"admin.","married","basic.9y","no","yes","yes","cellular","nov","fri",664,3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,1
30,"admin.","married","university.degree","no","no","no","telephone","may","thu",72,7,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
36,"admin.","married","university.degree","no","yes","no","cellular","jul","wed",570,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,1
54,"retired","married","basic.9y","no","no","yes","telephone","may","mon",596,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
58,"unknown","married","basic.4y","no","yes","no","cellular","aug","tue",645,10,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,1
33,"technician","single","university.degree","no","no","no","telephone","may","wed",127,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
33,"self-employed","married","university.degree","no","yes","no","telephone","jun","thu",271,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
33,"management","married","basic.9y","unknown","no","no","telephone","may","fri",127,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
33,"entrepreneur","single","professional.course","no","yes","no","cellular","mar","fri",373,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.653,5008.7,1
49,"entrepreneur","married","university.degree","no","yes","no","telephone","nov","mon",118,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
50,"services","married","university.degree","unknown","no","no","cellular","may","tue",116,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
31,"blue-collar","single","basic.9y","unknown","yes","yes","cellular","may","wed",55,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
55,"housemaid","married","university.degree","no","yes","no","telephone","jun","tue",441,3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
33,"admin.","married","university.degree","no","yes","no","cellular","nov","tue",318,2,3,3,"success",-3.4,92.649,-30.1,0.715,5017.5,1
36,"blue-collar","married","unknown","no","yes","yes","cellular","apr","thu",90,1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,0
27,"admin.","single","high.school","no","no","no","cellular","jun","tue",421,2,999,0,"nonexistent",-1.7,94.055,-39.8,0.761,4991.6,1
50,"management","married","university.degree","no","yes","no","cellular","oct","thu",305,2,4,1,"success",-3.4,92.431,-26.9,0.754,5017.5,1
47,"admin.","married","basic.9y","no","yes","no","telephone","jun","fri",9,7,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
31,"student","single","university.degree","no","yes","yes","cellular","apr","fri",183,1,6,2,"success",-1.8,93.749,-34.6,0.663,5008.7,1
32,"technician","single","high.school","no","no","no","telephone","may","mon",28,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
35,"technician","married","professional.course","no","yes","no","cellular","may","mon",90,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,0
28,"technician","single","professional.course","no","yes","yes","telephone","may","wed",43,1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,0
40,"blue-collar","married","basic.9y","unknown","no","no","cellular","jul","mon",56,4,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
32,"management","married","university.degree","no","yes","no","telephone","may","tue",64,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
42,"technician","married","university.degree","no","no","no","telephone","jun","fri",4,20,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
39,"management","married","university.degree","no","no","no","telephone","jun","fri",601,5,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
45,"admin.","married","high.school","no","no","no","telephone","may","wed",215,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
29,"blue-collar","single","basic.9y","unknown","yes","no","cellular","jul","tue",262,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
37,"services","married","high.school","no","no","yes","cellular","nov","wed",54,4,6,1,"success",-3.4,92.649,-30.1,0.715,5017.5,0
49,"admin.","married","university.degree","no","no","no","cellular","sep","fri",110,6,999,3,"failure",-1.1,94.199,-37.5,0.883,4963.6,0
31,"technician","single","university.degree","no","yes","no","cellular","aug","tue",367,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
26,"blue-collar","single","basic.6y","no","yes","yes","cellular","may","fri",191,2,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,0
42,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","wed",191,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
54,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",243,3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
41,"management","married","unknown","no","no","yes","cellular","nov","fri",129,2,3,2,"success",-3.4,92.649,-30.1,0.714,5017.5,1
51,"entrepreneur","married","basic.4y","no","no","no","cellular","oct","tue",626,1,999,1,"failure",-3.4,92.431,-26.9,0.737,5017.5,0
55,"retired","married","basic.9y","unknown","unknown","unknown","cellular","jul","wed",628,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
27,"student","single","high.school","no","yes","yes","cellular","may","tue",91,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,1
57,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon",80,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
33,"admin.","married","high.school","no","yes","no","telephone","may","fri",730,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
56,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","fri",342,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
32,"admin.","married","professional.course","no","yes","no","cellular","jul","wed",173,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
35,"blue-collar","married","high.school","no","yes","yes","cellular","may","tue",178,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
36,"management","married","university.degree","no","unknown","unknown","telephone","jun","mon",192,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,0
44,"technician","married","professional.course","no","yes","no","telephone","may","thu",160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
52,"technician","married","professional.course","unknown","no","no","cellular","aug","tue",131,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
45,"admin.","married","university.degree","no","unknown","unknown","cellular","sep","tue",55,6,999,1,"failure",-3.4,92.379,-29.8,0.819,5017.5,0
52,"admin.","married","high.school","no","no","no","cellular","aug","wed",139,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
38,"admin.","married","high.school","no","yes","no","telephone","jun","thu",1411,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
41,"technician","divorced","university.degree","no","yes","no","cellular","aug","fri",167,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
32,"self-employed","married","university.degree","no","no","no","telephone","jun","thu",178,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
30,"admin.","single","university.degree","no","no","no","cellular","aug","tue",365,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
41,"blue-collar","married","basic.9y","unknown","yes","no","telephone","jun","mon",259,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
28,"student","single","basic.9y","no","yes","no","cellular","mar","tue",320,1,999,0,"nonexistent",-1.8,92.843,-50,1.799,5099.1,1
54,"blue-collar","married","basic.4y","no","no","no","cellular","may","mon",50,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
45,"management","married","basic.9y","unknown","yes","no","cellular","may","mon",305,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
31,"admin.","married","high.school","no","yes","yes","cellular","may","mon",12,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
24,"student","single","high.school","no","yes","no","cellular","apr","wed",74,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.445,5099.1,0
31,"technician","married","high.school","no","yes","no","cellular","aug","wed",78,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
50,"admin.","single","basic.9y","no","unknown","unknown","cellular","jun","wed",699,1,999,1,"failure",-2.9,92.963,-40.8,1.26,5076.2,1
60,"retired","divorced","university.degree","unknown","yes","no","telephone","may","tue",198,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
39,"blue-collar","married","basic.9y","unknown","no","yes","cellular","jul","mon",51,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
34,"self-employed","single","university.degree","no","yes","no","cellular","may","tue",245,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
58,"management","married","university.degree","no","no","no","cellular","aug","tue",412,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,1
31,"unemployed","married","professional.course","no","yes","yes","telephone","may","mon",169,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
34,"blue-collar","married","basic.9y","no","yes","no","telephone","may","mon",513,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
31,"technician","married","professional.course","no","yes","no","cellular","may","mon",577,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
53,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","wed",205,2,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,0
35,"technician","single","professional.course","no","yes","yes","cellular","aug","thu",133,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
34,"technician","single","professional.course","no","no","no","cellular","aug","mon",237,1,999,1,"failure",-2.9,92.201,-31.4,0.861,5076.2,0
40,"entrepreneur","married","university.degree","no","no","no","cellular","jul","wed",279,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
46,"admin.","married","high.school","no","yes","no","cellular","apr","thu",231,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,1
33,"technician","single","high.school","no","yes","no","cellular","jul","fri",1422,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,1
25,"technician","married","high.school","no","no","no","telephone","jun","tue",157,5,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
47,"technician","married","professional.course","no","no","no","telephone","may","tue",79,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
56,"management","married","university.degree","unknown","no","no","telephone","may","tue",191,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
41,"admin.","married","university.degree","no","yes","no","telephone","may","wed",153,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
44,"technician","married","professional.course","no","yes","no","cellular","aug","wed",114,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
58,"retired","married","high.school","no","no","no","cellular","nov","mon",34,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
36,"admin.","married","high.school","no","no","no","cellular","nov","tue",141,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
46,"admin.","married","high.school","no","yes","no","cellular","nov","thu",308,1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,0
38,"technician","married","professional.course","no","yes","yes","telephone","may","tue",297,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
43,"admin.","married","university.degree","no","no","no","cellular","aug","mon",116,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,0
33,"technician","single","professional.course","no","yes","no","telephone","may","tue",422,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
28,"admin.","single","university.degree","no","no","no","telephone","jun","mon",103,3,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,0
54,"blue-collar","married","unknown","unknown","no","no","telephone","may","fri",67,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
