Player 0, rolls 2, wins money
Avg. Team Winnings = 0
Player 0, rolls 2, wins money
Player 2, rolls 2, wins money
Player 1, rolls 2, wins money
Avg. Team Winnings = 0
Player 6, rolls 2, lost money
Player 1, rolls 2, wins money
Player 0, rolls 2, wins money
Player 4, rolls 2, lost money
Player 3, rolls 2, lost money
Player 2, rolls 2, wins money
Player 5, rolls 2, lost money
Avg. Team Winnings = 0
Player 3, rolls 2, lost money
Player 3, rolls 2, lost money
Player 7, rolls 2, lost money
Player 2, rolls 2, wins money
Player 2, rolls 2, wins money
Player 5, rolls 2, lost money
Player 5, rolls 2, lost money
Player 6, rolls 2, lost money
Player 6, rolls 2, lost money
Player 1, rolls 2, wins money
Player 1, rolls 2, wins money
Player 4, rolls 2, lost money
Player 4, rolls 2, lost money
Player 0, rolls 2, wins money
Player 0, rolls 2, wins money
Avg. Team Winnings = 0
