Closing Statement for Day 1  0.02
Closing Statement for Day 2  0.04
Closing Statement for Day 3  0.06
Closing Statement for Day 4  0.08
Closing Statement for Day 5  0.10
Closing Statement for Day 6  0.12
Closing Statement for Day 7  0.14
Closing Statement for Day 8  0.16
Closing Statement for Day 9  0.18
Closing Statement for Day 10  0.20
Closing Statement for Day 11  0.22
Closing Statement for Day 12  0.24
Closing Statement for Day 13  0.26
Closing Statement for Day 14  0.28
Closing Statement for Day 15  0.30
Closing Statement for Day 16  0.32
Closing Statement for Day 17  0.34
Closing Statement for Day 18  0.36
Closing Statement for Day 19  0.38
Closing Statement for Day 20  0.40
Closing Statement for Day 21  0.42
Closing Statement for Day 22  0.44
Closing Statement for Day 23  0.46
Closing Statement for Day 24  0.48
Closing Statement for Day 25  0.50
Closing Statement for Day 26  0.52
Closing Statement for Day 27  0.54
Closing Statement for Day 28  0.56
Closing Statement for Day 29  0.58
Closing Statement for Day 30  0.60
